obs,time,deployment,average_wave_height,date_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,max_wave_height,mean_direction,mean_spectral_period,mean_spread,mean_wave_period,number_zero_crossings,peak_wave_period,port_timestamp,preferred_timestamp,serial_number,significant_period,significant_wave_height,time_string,wave_height_10,wave_height_hmo,wave_period_10,wave_period_tp5,average_wave_height_qc_executed,average_wave_height_qc_results,max_wave_height_qc_executed,max_wave_height_qc_results,significant_wave_height_qc_executed,significant_wave_height_qc_results,significant_period_qc_executed,significant_period_qc_results,wave_height_10_qc_executed,wave_height_10_qc_results,wave_period_10_qc_executed,wave_period_10_qc_results,mean_wave_period_qc_executed,mean_wave_period_qc_results,peak_wave_period_qc_executed,peak_wave_period_qc_results,wave_period_tp5_qc_executed,wave_period_tp5_qc_results,wave_height_hmo_qc_executed,wave_height_hmo_qc_results,mean_direction_qc_executed,mean_direction_qc_results,lat,lon
70,3758291587,8,2.269999981,empty,empty,3758295262,3758295262,3758289514,5.210000038,284.2000122,8.899999619,26.79999924,8.5,120,14.30000019,3758291587,port_timestamp,6311,11.10000038,3.589999914,empty,4.320000172,3.730000019,11.19999981,13.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
71,3758295186,8,2.079999924,empty,empty,3758303666,3758303666,3758293113,5.639999866,287.2000122,8.5,29.20000076,8.100000381,126,12.5,3758295186,port_timestamp,6311,11.5,3.309999943,empty,4.130000114,3.430000067,11.89999962,12.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
72,3758298785,8,2.049999952,empty,empty,3758303666,3758303666,3758296712,6.800000191,286.5,8.5,28.10000038,8.199999809,126,12.5,3758298785,port_timestamp,6311,11.5,3.359999895,empty,4.139999866,3.410000086,11.80000019,12.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
73,3758302385,8,1.980000019,empty,empty,3758309953,3758309953,3758300312,5.039999962,290.3999939,8.5,31.70000076,8.199999809,127,11.80000019,3758302385,port_timestamp,6311,11.30000019,3.180000067,empty,3.809999943,3.319999933,11.80000019,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
74,3758305984,8,1.960000038,empty,empty,3758309953,3758309953,3758303911,4.670000076,289.8999939,8.600000381,24.89999962,8.699999809,124,11.80000019,3758305984,port_timestamp,6311,11.39999962,3.25,empty,4.019999981,3.339999914,11.89999962,11.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
75,3758309584,8,1.860000014,empty,empty,3758318350,3758318351,3758307511,4.820000172,289.8999939,8.5,23.39999962,8.899999619,126,11.80000019,3758309584,port_timestamp,6311,11.39999962,3.00999999,empty,3.940000057,3.210000038,11.80000019,12.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
76,3758316787,8,1.870000005,empty,empty,3758324651,3758324651,3758314713,4.829999924,287.6000061,8.800000191,25,8.5,121,11.10000038,3758316787,port_timestamp,6311,11.10000038,3.130000114,empty,3.869999886,3.140000105,11.30000019,11.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
77,3758320387,8,1.799999952,empty,empty,3758324651,3758324651,3758318313,5.489999771,285.7999878,8.399999619,27.5,8.300000191,127,11.80000019,3758320387,port_timestamp,6311,11.10000038,2.890000105,empty,3.579999924,3.00999999,11.19999981,11.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
78,3758323987,8,1.850000024,empty,empty,3758333042,3758333043,3758321913,4.800000191,286.2999878,8.199999809,25.20000076,8.199999809,131,11.10000038,3758323987,port_timestamp,6311,10.89999962,3.039999962,empty,3.819999933,3.140000105,10.69999981,11.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
79,3758327587,8,2.109999895,empty,empty,3758333042,3758333043,3758325513,4.78000021,289,8.300000191,22.39999962,8.399999619,129,11.10000038,3758327587,port_timestamp,6311,10.60000038,3.380000114,empty,4.239999771,3.559999943,11.19999981,11.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
80,3758331185,8,1.789999962,empty,empty,3758339362,3758339362,3758329112,4,287,7.800000191,25.5,8,138,10.5,3758331185,port_timestamp,6311,10.39999962,2.859999895,empty,3.369999886,3.039999962,10.60000038,10.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
81,3758334786,8,2.180000067,empty,empty,3758339362,3758339362,3758332712,4.599999905,284.6000061,9.300000191,21.79999924,8.600000381,115,11.80000019,3758334786,port_timestamp,6311,11.5,3.319999933,empty,4,3.430000067,11,11.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
82,3758338388,8,1.710000038,empty,empty,3758345681,3758345681,3758336314,4.369999886,284.2999878,8.199999809,25.60000038,8,131,10.5,3758338388,port_timestamp,6311,10,2.690000057,empty,3.470000029,2.829999924,10.69999981,10.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
83,3758341985,8,1.789999962,empty,empty,3758345681,3758345681,3758339911,5.070000172,284.1000061,7.900000095,24.5,8,136,11.10000038,3758341985,port_timestamp,6311,10.60000038,2.829999924,empty,3.710000038,3.059999943,10.39999962,11.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
84,3758345594,8,2,empty,empty,3758354049,3758354049,3758343513,4.989999771,284.6000061,7.900000095,22.60000038,7.900000095,135,10.5,3758345594,port_timestamp,6311,10.10000038,3.200000048,empty,3.99000001,3.289999962,10.39999962,11.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
85,3758349194,8,1.809999943,empty,empty,3758354049,3758354049,3758347113,4.71999979,289,7.300000191,24.20000076,7.300000191,146,11.10000038,3758349194,port_timestamp,6311,10,2.890000105,empty,3.589999914,3.059999943,10.30000019,11.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
86,3758352793,8,1.879999995,empty,empty,3758360355,3758360355,3758350711,5.199999809,284.3999939,8.100000381,22.60000038,7.900000095,131,11.10000038,3758352793,port_timestamp,6311,10.80000019,2.99000001,empty,3.900000095,3.160000086,11.10000038,12.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
87,3758356393,8,1.720000029,empty,empty,3758360355,3758360355,3758354311,3.720000029,284.2999878,8.199999809,27.10000038,7.400000095,131,11.10000038,3758356393,port_timestamp,6311,10.5,2.680000067,empty,3.289999962,2.74000001,10.69999981,11.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
88,3758359994,8,1.820000052,empty,empty,3758368788,3758368789,3758357912,5.130000114,277.7999878,8.199999809,22.20000076,8.5,131,12.5,3758359994,port_timestamp,6311,11.39999962,2.910000086,empty,3.74000001,3.140000105,12.19999981,13.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
89,3758363592,8,1.620000005,empty,empty,3758368788,3758368789,3758361510,4.760000229,280.1000061,8.300000191,24.39999962,8.100000381,130,14.30000019,3758363592,port_timestamp,6311,11.60000038,2.640000105,empty,3.420000076,2.75999999,11.80000019,13.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
90,3758367193,8,1.74000001,empty,empty,3758375074,3758375075,3758365111,4.230000019,281.7000122,8.800000191,21.60000038,8.800000191,122,15.39999962,3758367193,port_timestamp,6311,11.69999981,2.819999933,empty,3.640000105,2.960000038,11.69999981,13.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
91,3758370793,8,1.889999986,empty,empty,3758375074,3758375075,3758368711,5.179999828,277.8999939,9.899999619,21.5,9.100000381,108,14.30000019,3758370793,port_timestamp,6311,11.80000019,2.900000095,empty,3.609999895,3.059999943,11.89999962,13.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
92,3758374396,8,1.769999981,empty,empty,3758383472,3758383472,3758372313,4.139999866,284.3999939,9,23.39999962,8.600000381,118,10.5,3758374396,port_timestamp,6311,11,2.660000086,empty,3.140000105,2.809999943,10.60000038,11,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
93,3758377995,8,1.970000029,empty,empty,3758383472,3758383472,3758375912,3.869999886,285,10.10000038,21.20000076,9.5,106,14.30000019,3758377995,port_timestamp,6311,11.89999962,2.950000048,empty,3.549999952,3.059999943,11.69999981,14.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
94,3758381594,8,1.620000005,empty,empty,3758389782,3758389782,3758379510,3.339999914,288.2999878,9.300000191,22.39999962,8.699999809,116,10,3758381594,port_timestamp,6311,11.39999962,2.470000029,empty,2.849999905,2.529999971,11.5,11.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
95,3758385197,8,1.980000019,empty,empty,3758389782,3758389782,3758383114,4.25,280.7000122,9.699999809,19.20000076,9.399999619,110,14.30000019,3758385197,port_timestamp,6311,11.5,3.119999886,empty,3.789999962,3.200000048,11.19999981,13.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
96,3758388795,8,1.889999986,empty,empty,3758396085,3758396085,3758386712,4.289999962,283.1000061,9.100000381,20.89999962,8.800000191,117,9.5,3758388795,port_timestamp,6311,10.5,2.920000076,empty,3.49000001,3.039999962,10.39999962,10.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
97,3758392395,8,1.889999986,empty,empty,3758396085,3758396085,3758390312,4.380000114,283.6000061,8.699999809,22.70000076,8.699999809,122,9.100000381,3758392395,port_timestamp,6311,10.39999962,2.980000019,empty,3.769999981,3.109999895,10.69999981,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
98,3758395995,8,1.769999981,empty,empty,3758404490,3758404490,3758393912,4.059999943,282.1000061,8.600000381,22.60000038,8.399999619,126,14.30000019,3758395995,port_timestamp,6311,10.89999962,2.839999914,empty,3.390000105,2.950000048,10.60000038,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
99,3758403194,8,1.519999981,empty,empty,3758410785,3758410785,3758401111,3.910000086,277.2999878,8.199999809,23.79999924,8.199999809,131,14.30000019,3758403194,port_timestamp,6311,10.39999962,2.450000048,empty,3.029999971,2.619999886,11.10000038,12.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
100,3758406794,8,1.720000029,empty,empty,3758410785,3758410785,3758404711,3.970000029,278.2000122,8.899999619,22.29999924,8.600000381,121,14.30000019,3758406794,port_timestamp,6311,11.19999981,2.599999905,empty,3.099999905,2.809999943,11.80000019,12.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
101,3758410393,8,1.850000024,empty,empty,3758419167,3758419167,3758408311,4.190000057,278.2999878,9.800000191,19.5,9.100000381,110,13.30000019,3758410393,port_timestamp,6311,12.10000038,2.799999952,empty,3.460000038,2.920000076,12.60000038,13.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
102,3758413993,8,1.620000005,empty,empty,3758419167,3758419167,3758411911,3.769999981,275.7000122,9.600000381,20.20000076,9.199999809,111,14.30000019,3758413993,port_timestamp,6311,12.19999981,2.529999971,empty,3.109999895,2.650000095,13.39999962,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
103,3758417593,8,1.580000043,empty,empty,3758425469,3758425470,3758415511,5.650000095,280.2000122,9.5,20.70000076,9.199999809,113,13.30000019,3758417593,port_timestamp,6311,11.69999981,2.569999933,empty,3.450000048,2.690000057,12.10000038,14.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
104,3758421193,8,1.529999971,empty,empty,3758425469,3758425470,3758419111,4.119999886,277.6000061,8.899999619,22.10000038,9.100000381,120,14.30000019,3758421193,port_timestamp,6311,11.60000038,2.450000048,empty,3.150000095,2.630000114,12.19999981,13.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
105,3758424795,8,1.529999971,empty,empty,3758433893,3758433894,3758422712,3.670000076,277.3999939,9.100000381,22.20000076,9.100000381,117,14.30000019,3758424795,port_timestamp,6311,11.80000019,2.450000048,empty,3.029999971,2.589999914,11.60000038,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
106,3758428394,8,1.529999971,empty,empty,3758433893,3758433894,3758426312,3.789999962,282.7000122,8.399999619,21.70000076,8.600000381,128,14.30000019,3758428394,port_timestamp,6311,10.39999962,2.470000029,empty,3.079999924,2.609999895,11.30000019,13.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
107,3758431993,8,1.600000024,empty,empty,3758440184,3758440185,3758429911,4.670000076,282.2000122,8.600000381,20.60000038,8.699999809,125,15.39999962,3758431993,port_timestamp,6311,10.89999962,2.50999999,empty,3.140000105,2.710000038,12.39999962,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
108,3758435594,8,1.620000005,empty,empty,3758440184,3758440185,3758433511,3.089999914,282.7000122,8.5,23.60000038,8.5,125,13.30000019,3758435594,port_timestamp,6311,10.39999962,2.440000057,empty,2.869999886,2.640000105,11.5,11.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
109,3758439195,8,1.460000038,empty,empty,3758446488,3758446488,3758437111,4.340000153,282.2000122,7.800000191,23.60000038,8.199999809,138,14.30000019,3758439195,port_timestamp,6311,10.5,2.369999886,empty,3.00999999,2.539999962,11.69999981,13.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
110,3758442795,8,1.649999976,empty,empty,3758446488,3758446488,3758440711,3.720000029,283.2000122,8.5,22.70000076,7.900000095,125,14.30000019,3758442795,port_timestamp,6311,10.80000019,2.549999952,empty,3.109999895,2.640000105,11,13.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
111,3758446396,8,1.590000033,empty,empty,3758454906,3758454906,3758444312,3.339999914,282.2999878,8.100000381,23.10000038,8,131,15.39999962,3758446396,port_timestamp,6311,10.60000038,2.5,empty,3.00999999,2.690000057,11.69999981,13.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
112,3758449995,8,1.779999971,empty,empty,3758454906,3758454906,3758447911,3.970000029,281,8.899999619,20,8.5,121,14.30000019,3758449995,port_timestamp,6311,11.10000038,2.799999952,empty,3.410000086,2.920000076,11.69999981,12.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
113,3758453592,8,1.49000001,empty,empty,3758461214,3758461214,3758451508,3.769999981,283.8999939,7.699999809,24.89999962,7.699999809,137,14.30000019,3758453592,port_timestamp,6311,10.10000038,2.430000067,empty,3,2.569999933,10.30000019,11,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
114,3758457194,8,1.629999995,empty,empty,3758461214,3758461214,3758455110,3.940000057,278.6000061,8.600000381,23.89999962,8.300000191,124,15.39999962,3758457194,port_timestamp,6311,11.39999962,2.599999905,empty,3.230000019,2.75,12.10000038,14.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
115,3758460795,8,1.820000052,empty,empty,3758469607,3758469607,3758458711,4.010000229,278.8999939,8.899999619,20.79999924,8.399999619,121,14.30000019,3758460795,port_timestamp,6311,11.19999981,2.849999905,empty,3.450000048,2.99000001,11.89999962,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
116,3758464397,8,1.50999999,empty,empty,3758469607,3758469607,3758462313,3.809999943,279,7.900000095,26.60000038,7.699999809,136,14.30000019,3758464397,port_timestamp,6311,11.39999962,2.470000029,empty,3.049999952,2.589999914,11.60000038,14,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
117,3758467994,8,1.659999967,empty,empty,3758475916,3758475917,3758465910,5.300000191,277.8999939,8.699999809,21.70000076,8.5,123,14.30000019,3758467994,port_timestamp,6311,11.60000038,2.609999895,empty,3.309999943,2.819999933,12.80000019,14.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
118,3758471594,8,1.440000057,empty,empty,3758475916,3758475917,3758469510,4.630000114,282.3999939,7.699999809,27.70000076,7.699999809,139,13.30000019,3758471594,port_timestamp,6311,11.30000019,2.369999886,empty,3.00999999,2.559999943,11.19999981,13.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
119,3758475196,8,1.559999943,empty,empty,3758484308,3758484308,3758473110,3.849999905,277.3999939,8.300000191,25.10000038,7.900000095,128,15.39999962,3758475196,port_timestamp,6311,11.30000019,2.460000038,empty,3.029999971,2.619999886,11.30000019,14.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
120,3758478794,8,1.5,empty,empty,3758484308,3758484308,3758476710,3.650000095,273.5,8.199999809,29.5,7.5,131,14.30000019,3758478794,port_timestamp,6311,11.30000019,2.339999914,empty,2.880000114,2.440000057,12,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
121,3758482393,8,1.559999943,empty,empty,3758490591,3758490591,3758480309,3.950000048,271.2999878,8.600000381,23.5,8.199999809,124,15.39999962,3758482393,port_timestamp,6311,11.89999962,2.519999981,empty,3.279999971,2.619999886,13.19999981,14.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
122,3758489594,8,1.440000057,empty,empty,3758496918,3758496918,3758487509,3.440000057,273.7999878,9,24.10000038,8.399999619,119,15.39999962,3758489594,port_timestamp,6311,12.10000038,2.309999943,empty,2.880000114,2.400000095,12.60000038,15.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
123,3758493192,8,1.360000014,empty,empty,3758496918,3758496918,3758491108,3.220000029,274.2999878,8.699999809,25.70000076,8.399999619,124,15.39999962,3758493192,port_timestamp,6311,11.89999962,2.24000001,empty,2.880000114,2.299999952,12,14,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
124,3758496794,8,1.340000033,empty,empty,3758505300,3758505300,3758494710,3.5,275.7000122,8.899999619,26.20000076,8.600000381,121,15.39999962,3758496794,port_timestamp,6311,11.60000038,2.200000048,empty,2.75,2.25,11.5,14.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
125,3758500394,8,1.460000038,empty,empty,3758505300,3758505300,3758498310,4.039999962,271,10.39999962,22.70000076,9.300000191,103,15.39999962,3758500394,port_timestamp,6311,13,2.359999895,empty,2.910000086,2.400000095,12.30000019,15.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
126,3758503996,8,1.230000019,empty,empty,3758511609,3758511611,3758501912,3.289999962,274.6000061,8.899999619,23.70000076,9,120,13.30000019,3758503996,port_timestamp,6311,11.89999962,2.019999981,empty,2.559999943,2.130000114,12.10000038,13.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
127,3758507594,8,1.320000052,empty,empty,3758511609,3758511611,3758505510,2.829999924,278,9.699999809,22.29999924,9,110,14.30000019,3758507594,port_timestamp,6311,11.89999962,2.019999981,empty,2.450000048,2.109999895,11.89999962,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
128,3758511193,8,1.360000014,empty,empty,3758520001,3758520002,3758509109,3.309999943,274.7000122,9.399999619,18.60000038,9.300000191,114,14.30000019,3758511193,port_timestamp,6311,12.89999962,2.200000048,empty,2.849999905,2.329999924,13,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
129,3758514796,8,1.220000029,empty,empty,3758520001,3758520002,3758512710,3.279999971,274.5,8.600000381,23.29999924,8.399999619,124,15.39999962,3758514796,port_timestamp,6311,12.30000019,2.069999933,empty,2.640000105,2.140000105,13,14.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
130,3758518385,8,1.179999948,empty,empty,3758526291,3758526291,3758516310,3.49000001,274.8999939,7.800000191,27.70000076,7.300000191,138,13.30000019,3758518385,port_timestamp,6311,11.39999962,1.889999986,empty,2.440000057,1.980000019,12.60000038,13.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
131,3758521984,8,1.279999971,empty,empty,3758526291,3758526291,3758519909,4.139999866,272.6000061,8,23.70000076,7.699999809,135,14.30000019,3758521984,port_timestamp,6311,12.30000019,2.160000086,empty,2.789999962,2.289999962,12.10000038,14.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
132,3758525584,8,1.25,empty,empty,3758534711,3758534711,3758523509,3.279999971,270.7000122,8.300000191,25.79999924,7.800000191,129,14.30000019,3758525584,port_timestamp,6311,11.80000019,2.039999962,empty,2.599999905,2.140000105,12.39999962,13.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
133,3758529185,8,1.309999943,empty,empty,3758534711,3758534711,3758527109,3.309999943,271.2999878,8.199999809,26.20000076,7.400000095,132,13.30000019,3758529185,port_timestamp,6311,12,2.130000114,empty,2.660000086,2.130000114,12.30000019,13.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
134,3758532785,8,1.269999981,empty,empty,3758541026,3758541026,3758530709,2.960000038,267.2000122,8.399999619,25.20000076,7.800000191,127,15.39999962,3758532785,port_timestamp,6311,12.19999981,2.099999905,empty,2.579999924,2.130000114,11.89999962,14.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
135,3758536384,8,1.220000029,empty,empty,3758541026,3758541026,3758534309,3.819999933,270.2000122,7.800000191,27.10000038,7.599999905,137,14.30000019,3758536384,port_timestamp,6311,12.19999981,2.079999924,empty,2.75,2.180000067,13,14,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
136,3758539982,8,1.120000005,empty,empty,3758547304,3758547304,3758537907,3.079999924,265.7999878,7.5,30.39999962,7,142,15.39999962,3758539982,port_timestamp,6311,11.10000038,1.870000005,empty,2.460000038,1.99000001,12.60000038,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
137,3758543584,8,1.090000033,empty,empty,3758547304,3758547304,3758541509,3.069999933,269.2000122,6.900000095,29.60000038,6.699999809,155,13.30000019,3758543584,port_timestamp,6311,10.30000019,1.789999962,empty,2.329999924,1.950000048,11.60000038,12.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
138,3758547184,8,1.169999957,empty,empty,3758555728,3758555728,3758545109,3.319999933,270.1000061,7.699999809,25.29999924,7.300000191,139,15.39999962,3758547184,port_timestamp,6311,12.30000019,1.99000001,empty,2.640000105,2.119999886,12.89999962,13.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
139,3758550785,8,1.059999943,empty,empty,3758555728,3758555728,3758548709,3.319999933,266.3999939,7.099999905,29.29999924,7,150,15.39999962,3758550785,port_timestamp,6311,11.30000019,1.809999943,empty,2.289999962,1.909999967,12.19999981,14.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
140,3758554384,8,1.120000005,empty,empty,3758562035,3758562035,3758552308,2.74000001,273.2000122,7.699999809,24.89999962,7.300000191,139,15.39999962,3758554384,port_timestamp,6311,11.39999962,1.870000005,empty,2.299999952,1.919999957,11.19999981,15,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
141,3758557985,8,1.120000005,empty,empty,3758562035,3758562035,3758555910,2.829999924,269.6000061,8.100000381,24.39999962,7.599999905,133,15.39999962,3758557985,port_timestamp,6311,12.39999962,1.830000043,empty,2.25,1.960000038,13.69999981,15.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
142,3758561586,8,1.149999976,empty,empty,3758576712,3758576712,3758559509,3.269999981,273.8999939,8.100000381,22.5,8.199999809,131,15.39999962,3758561586,port_timestamp,6311,13.10000038,1.919999957,empty,2.50999999,2.109999895,13.69999981,15.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
143,3758565186,8,1.169999957,empty,empty,3758576712,3758576712,3758563109,2.869999886,268.1000061,8.699999809,25,7.900000095,124,15.39999962,3758565186,port_timestamp,6311,12.89999962,1.909999967,empty,2.380000114,2,13.30000019,14.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
144,3758568784,8,1.159999967,empty,empty,3758576712,3758576712,3758566707,3.059999943,270.2000122,8.899999619,23.10000038,8.699999809,119,14.30000019,3758568784,port_timestamp,6311,13.30000019,1.940000057,empty,2.430000067,2.029999971,13.39999962,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
