obs,time,deployment,average_wave_height,date_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,max_wave_height,mean_direction,mean_spectral_period,mean_spread,mean_wave_period,number_zero_crossings,peak_wave_period,port_timestamp,preferred_timestamp,serial_number,significant_period,significant_wave_height,time_string,wave_height_10,wave_height_hmo,wave_period_10,wave_period_tp5,average_wave_height_qc_executed,average_wave_height_qc_results,max_wave_height_qc_executed,max_wave_height_qc_results,significant_wave_height_qc_executed,significant_wave_height_qc_results,significant_period_qc_executed,significant_period_qc_results,wave_height_10_qc_executed,wave_height_10_qc_results,wave_period_10_qc_executed,wave_period_10_qc_results,mean_wave_period_qc_executed,mean_wave_period_qc_results,peak_wave_period_qc_executed,peak_wave_period_qc_results,wave_period_tp5_qc_executed,wave_period_tp5_qc_results,wave_height_hmo_qc_executed,wave_height_hmo_qc_results,mean_direction_qc_executed,mean_direction_qc_results,lat,lon
13,3758079194,8,1.879999995,empty,empty,3758087354,3758087355,3758077116,4.340000153,246.1999969,8.399999619,28.20000076,8.5,127,16.70000076,3758079194,port_timestamp,6311,12.60000038,2.970000029,empty,3.680000067,3.230000019,13.80000019,16.20000076,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
14,3758082794,8,2.029999971,empty,empty,3758087354,3758087355,3758080717,5.090000153,247.1000061,9.600000381,25.10000038,9.199999809,111,15.39999962,3758082794,port_timestamp,6311,13,3.319999933,empty,4.159999847,3.410000086,13.89999962,16,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
15,3758086393,8,2.069999933,empty,empty,3758093609,3758093609,3758084316,4.710000038,248.6000061,10.19999981,24.5,9.100000381,105,16.70000076,3758086393,port_timestamp,6311,13,3.220000029,empty,3.900000095,3.289999962,12.80000019,14.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
16,3758089992,8,1.820000052,empty,empty,3758093609,3758093609,3758087915,4.230000019,241.6999969,8.800000191,27.79999924,8.899999619,121,11.80000019,3758089992,port_timestamp,6311,12.19999981,3.019999981,empty,3.829999924,3.170000076,12.80000019,12.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
17,3758093594,8,2.089999914,empty,empty,3758102000,3758102001,3758091516,4.420000076,248.1999969,9.800000191,26.10000038,9.300000191,110,15.39999962,3758093594,port_timestamp,6311,12.19999981,3.24000001,empty,3.839999914,3.390000105,12.69999981,15.89999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
18,3758097196,8,1.850000024,empty,empty,3758102000,3758102001,3758095118,4.570000172,246.8999939,8.399999619,32.20000076,8.100000381,127,11.80000019,3758097196,port_timestamp,6311,11.30000019,2.970000029,empty,3.640000105,3.119999886,11.19999981,12.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
19,3758100794,8,2.089999914,empty,empty,3758108336,3758108336,3758098716,4.650000095,242.8999939,9.100000381,28.20000076,8.399999619,118,11.80000019,3758100794,port_timestamp,6311,10.60000038,3.200000048,empty,3.839999914,3.25999999,10.39999962,11.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
20,3758104393,8,1.809999943,empty,empty,3758108336,3758108336,3758102315,5.309999943,244.3000031,8,34.29999924,8.300000191,134,15.39999962,3758104393,port_timestamp,6311,11.39999962,2.970000029,empty,3.819999933,3.140000105,11.19999981,14.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
21,3758107993,8,2.00999999,empty,empty,3758116753,3758116753,3758105915,5.809999943,252.5,8.100000381,30.70000076,8.5,132,14.30000019,3758107993,port_timestamp,6311,11.19999981,3.279999971,empty,4.28000021,3.529999971,11.60000038,14.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
22,3758111593,8,2.049999952,empty,empty,3758116753,3758116753,3758109515,4.53000021,254.1999969,8.5,31.20000076,8.100000381,125,11.10000038,3758111593,port_timestamp,6311,10.89999962,3.200000048,empty,3.869999886,3.339999914,11,11.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
23,3758115193,8,2.230000019,empty,empty,3758123041,3758123041,3758113115,4.559999943,256,8.600000381,30.70000076,8.199999809,124,15.39999962,3758115193,port_timestamp,6311,11,3.49000001,empty,4.159999847,3.680000067,11.39999962,13.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
24,3758118795,8,2.25999999,empty,empty,3758123041,3758123041,3758116716,4.650000095,255.8999939,8,33.09999847,7.800000191,134,10,3758118795,port_timestamp,6311,10,3.470000029,empty,4.159999847,3.599999905,9.899999619,10.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
25,3758122395,8,2.380000114,empty,empty,3758131412,3758131412,3758120316,5.389999866,259.1000061,8.5,31.29999924,8.100000381,127,11.10000038,3758122395,port_timestamp,6311,10.10000038,3.640000105,empty,4.559999943,3.779999971,10.60000038,10.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
26,3758125992,8,2.230000019,empty,empty,3758131412,3758131412,3758123914,5.46999979,260.7999878,8.5,32.40000153,7.800000191,127,15.39999962,3758125992,port_timestamp,6311,10.39999962,3.440000057,empty,4.230000019,3.609999895,10.69999981,13.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
27,3758129593,8,2.339999914,empty,empty,3758137727,3758137728,3758127514,5.210000038,268.6000061,8.199999809,29.39999962,7.800000191,131,10.5,3758129593,port_timestamp,6311,10.19999981,3.5,empty,4.28000021,3.730000019,10.30000019,10.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
28,3758133194,8,2.220000029,empty,empty,3758137727,3758137728,3758131115,4.739999771,266.6000061,8.699999809,31.70000076,7.900000095,123,11.80000019,3758133194,port_timestamp,6311,10.60000038,3.279999971,empty,3.869999886,3.440000057,10.10000038,12.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
29,3758136797,8,1.970000029,empty,empty,3758144026,3758144027,3758134715,5.25,268.8999939,7.800000191,31.60000038,7.599999905,136,8.699999809,3758136797,port_timestamp,6311,10,3.210000038,empty,3.980000019,3.369999886,9.5,10.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
30,3758143993,8,2.019999981,empty,empty,3758152441,3758152441,3758141914,5.590000153,273,7.900000095,26.29999924,8.199999809,136,14.30000019,3758143993,port_timestamp,6311,10.39999962,3.309999943,empty,4.110000134,3.50999999,11.30000019,11.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
31,3758147595,8,1.639999986,empty,empty,3758152441,3758152441,3758145516,5.429999828,278.2000122,7.199999809,31.29999924,7.300000191,149,10.5,3758147595,port_timestamp,6311,9.699999809,2.720000029,empty,3.529999971,2.829999924,10.10000038,10.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
32,3758151193,8,2.059999943,empty,empty,3758158719,3758158719,3758149114,5.420000076,278.1000061,7.900000095,25.70000076,7.800000191,136,14.30000019,3758151193,port_timestamp,6311,10.30000019,3.269999981,empty,4.090000153,3.470000029,10.60000038,13.69999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
33,3758154797,8,1.75999999,empty,empty,3758158719,3758158719,3758152716,4.449999809,276.5,7.300000191,28.5,7.5,147,9.5,3758154797,port_timestamp,6311,9.699999809,2.769999981,empty,3.420000076,3.029999971,10.60000038,10.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
34,3758158393,8,1.830000043,empty,empty,3758167130,3758167131,3758156314,5.119999886,276.7999878,7,28.5,7.5,151,12.5,3758158393,port_timestamp,6311,9.800000191,3.079999924,empty,3.920000076,3.299999952,10.60000038,12.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
35,3758161992,8,2.029999971,empty,empty,3758167130,3758167131,3758159914,5.519999981,278.2999878,7.5,27.39999962,7.400000095,142,8.699999809,3758161992,port_timestamp,6311,9.399999619,3.210000038,empty,3.99000001,3.299999952,9.800000191,9.600000381,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
36,3758165595,8,1.919999957,empty,empty,3758173482,3758173482,3758163516,4.889999866,279.2999878,7.400000095,31.10000038,6.900000095,146,14.30000019,3758165595,port_timestamp,6311,9.399999619,2.940000057,empty,3.579999924,3.099999905,9.300000191,12.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
37,3758169193,8,2.160000086,empty,empty,3758173482,3758173482,3758167114,4.730000019,278.7000122,7.599999905,29.79999924,7.199999809,141,10,3758169193,port_timestamp,6311,9.199999809,3.339999914,empty,4.170000076,3.420000076,9.300000191,10.19999981,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
38,3758172793,8,2.230000019,empty,empty,3758181860,3758181860,3758170714,5.409999847,271.3999939,7.699999809,27.89999962,7.599999905,138,10,3758172793,port_timestamp,6311,9.699999809,3.450000048,empty,4.489999771,3.660000086,9.699999809,11,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
39,3758176393,8,1.99000001,empty,empty,3758181860,3758181860,3758174315,5.949999809,275.7999878,7.400000095,29,7.199999809,145,13.30000019,3758176393,port_timestamp,6311,9.5,3.099999905,empty,4.039999962,3.269999981,9.399999619,11.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
40,3758179995,8,1.879999995,empty,empty,3758188189,3758188190,3758177915,4.420000076,274.2000122,7.300000191,31.10000038,7.300000191,148,14.30000019,3758179995,port_timestamp,6311,9.5,3,empty,3.680000067,3.119999886,9.5,11.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
41,3758183595,8,1.960000038,empty,empty,3758188189,3758188190,3758181515,4.360000134,275.8999939,7.199999809,30.60000038,6.699999809,149,7.400000095,3758183595,port_timestamp,6311,8.699999809,2.930000067,empty,3.569999933,3.059999943,8.5,8.300000191,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
42,3758187195,8,1.669999957,empty,empty,3758202815,3758202815,3758185116,4.909999847,279,6.699999809,33.29999924,6.599999905,159,13.30000019,3758187195,port_timestamp,6311,8.5,2.640000105,empty,3.289999962,2.839999914,9.199999809,10.80000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
43,3758190793,8,1.850000024,empty,empty,3758202815,3758202815,3758188714,4.130000114,271.2999878,7.199999809,33.70000076,6.900000095,148,10,3758190793,port_timestamp,6311,9,2.900000095,empty,3.660000086,3,9.100000381,10,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
44,3758194393,8,1.789999962,empty,empty,3758202815,3758202815,3758192314,4.340000153,276.2999878,7.099999905,31.10000038,7.199999809,150,8.699999809,3758194393,port_timestamp,6311,9.199999809,2.849999905,empty,3.529999971,3.019999981,9.800000191,10.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
45,3758197993,8,1.730000019,empty,empty,3758202815,3758202815,3758195914,4.420000076,275.8999939,7,35.09999847,7,153,9.5,3758197993,port_timestamp,6311,9.199999809,2.710000038,empty,3.480000019,2.859999895,9.800000191,9.899999619,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
46,3758201594,8,1.870000005,empty,empty,3758209148,3758209148,3758199514,4.039999962,280.7000122,7.300000191,33.90000153,7.099999905,147,9.100000381,3758201594,port_timestamp,6311,9.199999809,2.839999914,empty,3.49000001,3.019999981,9.800000191,10.30000019,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
47,3758205194,8,2.039999962,empty,empty,3758209148,3758209148,3758203114,4.889999866,280.5,7.400000095,34.40000153,7.099999905,145,10,3758205194,port_timestamp,6311,8.899999619,3.289999962,empty,4.010000229,3.349999905,9.399999619,9.5,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
48,3758208796,8,1.870000005,empty,empty,3758217529,3758217529,3758206716,4.380000114,285.8999939,7,36.40000153,6.900000095,152,8.699999809,3758208796,port_timestamp,6311,8.800000191,2.940000057,empty,3.619999886,3.049999952,8.699999809,8.800000191,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
49,3758212393,8,1.889999986,empty,empty,3758217529,3758217529,3758210313,6.28000021,286.1000061,7.199999809,35.5,7.099999905,147,9.100000381,3758212393,port_timestamp,6311,9,2.960000038,empty,3.910000086,3.119999886,9.199999809,9.300000191,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
50,3758215994,8,2.059999943,empty,empty,3758223832,3758223832,3758213913,4.920000076,287.7000122,7.300000191,32.59999847,7.300000191,147,9.5,3758215994,port_timestamp,6311,9,3.279999971,empty,4.130000114,3.430000067,9.300000191,9.300000191,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
