obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3756672898.88,8,3.60580992699,empty,empty,3756676832.25,3756676832.26,3756672901.0,3756672898.88,port_timestamp,6.60099983215,10.451499939,32.5174933777,1024.97283626,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
1,3756673798.88,8,3.6056098938,empty,empty,3756676832.25,3756676832.26,3756673801.0,3756673798.88,port_timestamp,7.41200017929,10.4475002289,32.5187140603,1024.97813229,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
2,3756674698.88,8,3.60597991943,empty,empty,3756683133.29,3756683136.23,3756674701.0,3756674698.88,port_timestamp,6.94899988174,10.4511995316,32.5193174402,1024.975881,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
3,3756675598.88,8,3.60598993301,empty,empty,3756683133.29,3756683136.23,3756675601.0,3756675598.88,port_timestamp,6.61000013351,10.4511995316,32.5195631221,1024.97454098,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
4,3756676498.88,8,3.60598993301,empty,empty,3756683133.29,3756683136.23,3756676501.0,3756676498.88,port_timestamp,6.84399986267,10.450799942,32.5198193065,1024.97586578,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
5,3756677398.88,8,3.60647010803,empty,empty,3756683133.29,3756683136.23,3756677401.0,3756677398.88,port_timestamp,6.76399993896,10.4542999268,32.5215405844,1024.97624973,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
6,3756678298.88,8,3.60593008995,empty,empty,3756683133.29,3756683136.23,3756678301.0,3756678298.88,port_timestamp,6.90100002289,10.4449996948,32.524378833,1024.98066393,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
7,3756679198.88,8,3.60541009903,empty,empty,3756683133.29,3756683136.23,3756679201.0,3756679198.88,port_timestamp,6.757999897,10.4361000061,32.5271832392,1024.98371789,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
8,3756680098.88,8,3.60595989227,empty,empty,3756683133.29,3756683136.23,3756680101.0,3756680098.88,port_timestamp,6.867000103,10.434800148,32.5338158731,1024.98960041,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
9,3756680998.88,8,3.60562992096,empty,empty,3756683133.29,3756683136.23,3756681001.0,3756680998.88,port_timestamp,6.91499996185,10.4230003357,32.5410367405,1024.99745166,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
