obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3757536898.33,8,3.60526990891,empty,empty,3757539092.44,3757539092.46,3757536901.0,3757536898.33,port_timestamp,7.30999994278,10.4828996658,32.4837391227,1024.94438598,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3757537798.33,8,3.60005998611,empty,empty,3757539092.44,3757539092.46,3757537801.0,3757537798.33,port_timestamp,7.34000015259,10.4370002747,32.472475321,1024.94356003,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3757538698.33,8,3.60486006737,empty,empty,3757547499.75,3757547499.76,3757538701.0,3757538698.33,port_timestamp,7.30800008774,10.48279953,32.4797218193,1024.94126374,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3757539598.33,8,3.60858988762,empty,empty,3757547499.75,3757547499.76,3757539601.0,3757539598.33,port_timestamp,7.38999986649,10.5158004761,32.487594577,1024.94213501,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3757540498.33,8,3.60517001152,empty,empty,3757547499.75,3757547499.76,3757540501.0,3757540498.33,port_timestamp,7.25199985504,10.4836997986,32.4820490883,1024.94267066,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3757541398.33,8,3.61289000511,empty,empty,3757547499.75,3757547499.76,3757541401.0,3757541398.33,port_timestamp,7.15500020981,10.5542001724,32.496469245,1024.94141823,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3757542298.33,8,3.61043000221,empty,empty,3757547499.75,3757547499.76,3757542301.0,3757542298.33,port_timestamp,7.42100000381,10.5309000015,32.4925290805,1024.94353808,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3757543198.32,8,3.60801005363,empty,empty,3757547499.75,3757547499.76,3757543201.0,3757543198.32,port_timestamp,7.42199993134,10.5110998154,32.4859698276,1024.94181678,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3757544098.32,8,3.60894989967,empty,empty,3757547499.75,3757547499.76,3757544101.0,3757544098.32,port_timestamp,7.32000017166,10.519200325,32.488196385,1024.94170671,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3757544998.32,8,3.61135005951,empty,empty,3757547499.75,3757547499.77,3757545001.0,3757544998.32,port_timestamp,7.24100017548,10.5381002426,32.4953902097,1024.94372239,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
