obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3756154499.21,8,3.57671999931,empty,empty,3756158002.61,3756158002.62,3756154501.0,3756154499.21,port_timestamp,6.72499990463,10.2560997009,32.399767127,1024.914679,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3756155399.21,8,3.57688999176,empty,empty,3756158002.61,3756158002.62,3756155401.0,3756155399.21,port_timestamp,7.23799991608,10.2565002441,32.4008965707,1024.91781222,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3756156299.21,8,3.57716989517,empty,empty,3756164348.38,3756164348.4,3756156301.0,3756156299.21,port_timestamp,7.10900020599,10.2585000992,32.4019848768,1024.91774138,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3756157199.21,8,3.5773499012,empty,empty,3756164348.38,3756164348.4,3756157201.0,3756157199.21,port_timestamp,7.32499980927,10.2600002289,32.4023641557,1024.9187618,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3756158099.23,8,3.57740998268,empty,empty,3756164348.38,3756164348.4,3756158101.0,3756158099.23,port_timestamp,6.87799978256,10.2601995468,32.4029861085,1024.91719183,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3756158999.21,8,3.57751011848,empty,empty,3756164348.38,3756164348.4,3756159001.0,3756158999.21,port_timestamp,6.45800018311,10.2609996796,32.4034591051,1024.91552685,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3756159899.21,8,3.57753992081,empty,empty,3756164348.38,3756164348.4,3756159901.0,3756159899.21,port_timestamp,7.01599979401,10.2615995407,32.4029815982,1024.9175771,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3756160799.21,8,3.57762002945,empty,empty,3756164348.38,3756164348.4,3756160801.0,3756160799.21,port_timestamp,7.23600006104,10.2620000839,32.4033351254,1024.91878028,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3756161699.21,8,3.57753992081,empty,empty,3756164348.38,3756164348.4,3756161701.0,3756161699.21,port_timestamp,6.98699998856,10.2620000839,32.4026363785,1024.91710949,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3756162599.21,8,3.57743000984,empty,empty,3756164348.38,3756164348.4,3756162601.0,3756162599.21,port_timestamp,7.09499979019,10.2614002228,32.4020195562,1024.91721777,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
10,3756163499.21,8,3.577450037,empty,empty,3756172716.48,3756172716.92,3756163501.0,3756163499.21,port_timestamp,7.41599988937,10.2623996735,32.4011916622,1024.91785591,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3756164399.21,8,3.5773999691,empty,empty,3756172716.48,3756172716.92,3756164401.0,3756164399.21,port_timestamp,7.10500001907,10.2627000809,32.4005509372,1024.91589951,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3756165299.21,8,3.57738995552,empty,empty,3756172716.48,3756172716.92,3756165301.0,3756165299.21,port_timestamp,7.49900007248,10.2630996704,32.3999239288,1024.91712519,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3756166199.2,8,3.57733988762,empty,empty,3756172716.48,3756172716.93,3756166201.0,3756166199.2,port_timestamp,7.01399993896,10.2637996674,32.3990054166,1024.91409821,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
14,3756167099.21,8,3.57741999626,empty,empty,3756172716.48,3756172716.93,3756167101.0,3756167099.21,port_timestamp,7.09200000763,10.2650003433,32.3987057919,1024.91401552,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
15,3756167999.2,8,3.5772600174,empty,empty,3756172716.48,3756172716.93,3756168001.0,3756167999.2,port_timestamp,6.88800001144,10.2652997971,32.3969139314,1024.91164565,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
16,3756168899.2,8,3.57730007172,empty,empty,3756172716.48,3756172716.93,3756168901.0,3756168899.2,port_timestamp,7.07999992371,10.2652997971,32.3972379426,1024.91276651,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
17,3756169799.2,8,3.57712006569,empty,empty,3756172716.48,3756172716.93,3756169801.0,3756169799.2,port_timestamp,6.99599981308,10.2645998001,32.3960870395,1024.911607,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
18,3756170699.2,8,3.57720994949,empty,empty,3756179011.77,3756179014.28,3756170701.0,3756170699.2,port_timestamp,6.75400018692,10.266500473,32.3953967453,1024.90965499,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
19,3756171599.22,8,3.57713007927,empty,empty,3756179011.77,3756179014.28,3756171601.0,3756171599.22,port_timestamp,6.97900009155,10.2667999268,32.3942297007,1024.90971224,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
20,3756172499.2,8,3.57728004456,empty,empty,3756179011.77,3756179014.28,3756172501.0,3756172499.2,port_timestamp,7.08099985123,10.2686004639,32.394086846,1024.90975944,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
21,3756173399.2,8,3.5773499012,empty,empty,3756179011.77,3756179014.28,3756173401.0,3756173399.2,port_timestamp,6.99599981308,10.2707996368,32.3928626948,1024.90805094,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
22,3756174299.2,8,3.57736992836,empty,empty,3756179011.77,3756179014.28,3756174301.0,3756174299.2,port_timestamp,6.85099983215,10.2705001831,32.3933961602,1024.9078615,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
23,3756175199.2,8,3.57754993439,empty,empty,3756179011.77,3756179014.28,3756175201.0,3756175199.2,port_timestamp,7.21000003815,10.2720003128,32.3937098909,1024.90947727,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
24,3756176099.2,8,3.57775998116,empty,empty,3756179011.77,3756179014.28,3756176101.0,3756176099.2,port_timestamp,7.25400018692,10.2732000351,32.394734977,1024.91027369,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
25,3756176999.2,8,3.57799005508,empty,empty,3756179011.77,3756179014.28,3756177001.0,3756176999.2,port_timestamp,7.25099992752,10.2742996216,32.3960693174,1024.91111551,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
26,3756177899.2,8,3.57828998566,empty,empty,3756187421.1,3756187421.12,3756177901.0,3756177899.2,port_timestamp,7.27199983597,10.2762002945,32.3973804458,1024.91191299,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
27,3756178799.2,8,3.57862997055,empty,empty,3756187421.1,3756187421.12,3756178801.0,3756178799.2,port_timestamp,7.48600006104,10.2782001495,32.3989263654,1024.91374949,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
28,3756179699.2,8,3.5788500309,empty,empty,3756187421.1,3756187421.12,3756179701.0,3756179699.2,port_timestamp,7.125,10.2779998779,32.4014759165,1024.91413852,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
29,3756180599.2,8,3.57959008217,empty,empty,3756187421.1,3756187421.12,3756180601.0,3756180599.2,port_timestamp,6.82100009918,10.2834997177,32.4041425531,1024.91391752,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
30,3756181499.19,8,3.57996988297,empty,empty,3756187421.1,3756187421.12,3756181501.0,3756181499.19,port_timestamp,7.33099985123,10.2857999802,32.4056869776,1024.91704047,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
31,3756182399.19,8,3.58142995834,empty,empty,3756187421.1,3756187421.12,3756182401.0,3756182399.19,port_timestamp,6.96999979019,10.2969999313,32.4105317019,1024.91729933,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
32,3756183299.19,8,3.58273005486,empty,empty,3756187421.1,3756187421.12,3756183301.0,3756183299.19,port_timestamp,7.04199981689,10.307800293,32.4139317225,1024.91845558,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
33,3756184199.19,8,3.58404994011,empty,empty,3756187421.1,3756187421.12,3756184201.0,3756184199.19,port_timestamp,7.10799980164,10.3163995743,32.4194963656,1024.92164199,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
34,3756185099.19,8,3.58499002457,empty,empty,3756193704.93,3756193706.28,3756185101.0,3756185099.19,port_timestamp,7.21099996567,10.3233003616,32.4227396552,1024.92347173,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
35,3756185999.19,8,3.58544993401,empty,empty,3756193704.93,3756193706.28,3756186001.0,3756185999.19,port_timestamp,7.29300022125,10.3277997971,32.4233113069,1024.92352868,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
36,3756186899.19,8,3.58699011803,empty,empty,3756193704.93,3756193706.28,3756186901.0,3756186899.19,port_timestamp,7.07899999619,10.3403997421,32.427631222,1024.92380107,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
37,3756187799.19,8,3.59175992012,empty,empty,3756193704.93,3756193706.28,3756187801.0,3756187799.19,port_timestamp,7.03399991989,10.3844003677,32.4362824361,1024.92289746,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
38,3756188699.19,8,3.59184002876,empty,empty,3756193704.93,3756193706.28,3756188701.0,3756188699.19,port_timestamp,6.60799980164,10.3858995438,32.4359324626,1024.92044541,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
