obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3755353499.7,8,3.64580011368,empty,empty,3755359249.59,3755359257.35,3755353501.0,3755353499.7,port_timestamp,7.20300006866,10.7395000458,32.6595386757,1025.03669457,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3755354399.7,8,3.64298009872,empty,empty,3755359249.59,3755359257.35,3755354401.0,3755354399.7,port_timestamp,7.23000001907,10.7132997513,32.6548394471,1025.03770046,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3755355299.7,8,3.64324998856,empty,empty,3755359249.59,3755359257.35,3755355301.0,3755355299.7,port_timestamp,7.25299978256,10.7149000168,32.6560878017,1025.03849907,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3755356199.7,8,3.64314007759,empty,empty,3755359249.59,3755359257.35,3755356201.0,3755356199.7,port_timestamp,7.50500011444,10.7139997482,32.6556889561,1025.03948139,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3755357099.7,8,3.64359998703,empty,empty,3755365534.19,3755365535.23,3755357101.0,3755357099.7,port_timestamp,7.34499979019,10.7168998718,32.6577515698,1025.03986318,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3755357999.7,8,3.64406991005,empty,empty,3755365534.19,3755365535.23,3755358001.0,3755357999.7,port_timestamp,7.37099981308,10.719499588,32.6601012891,1025.04135966,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3755358899.7,8,3.64455008507,empty,empty,3755365534.19,3755365535.23,3755358901.0,3755358899.7,port_timestamp,7.24499988556,10.7237997055,32.6610949917,1025.04081953,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3755359799.7,8,3.6444299221,empty,empty,3755365534.19,3755365535.23,3755359801.0,3755359799.7,port_timestamp,7.44199991226,10.7222003937,32.6612421804,1025.04210018,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3755360699.7,8,3.64489006996,empty,empty,3755365534.19,3755365535.23,3755360701.0,3755360699.7,port_timestamp,7.33900022507,10.727399826,32.6612280643,1025.04072291,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3755361599.7,8,3.64489006996,empty,empty,3755365534.19,3755365535.23,3755361601.0,3755361599.7,port_timestamp,7.5560002327,10.7271995544,32.6613138049,1025.04180335,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
10,3755362499.7,8,3.64453005791,empty,empty,3755365534.19,3755365535.23,3755362501.0,3755362499.7,port_timestamp,7.20499992371,10.7243995667,32.6603783307,1025.03997698,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3755363399.7,8,3.64478993416,empty,empty,3755365534.19,3755365535.23,3755363401.0,3755363399.7,port_timestamp,7.26499986649,10.7259998322,32.661511298,1025.04085242,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3755364299.7,8,3.64613008499,empty,empty,3755373949.5,3755373950.89,3755364301.0,3755364299.7,port_timestamp,7.31599998474,10.7370996475,32.6649227748,1025.04181344,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3755365199.7,8,3.64736008644,empty,empty,3755373949.5,3755373950.89,3755365201.0,3755365199.7,port_timestamp,7.47200012207,10.747300148,32.667995821,1025.0431393,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
