obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3756845698.77,8,3.60935997963,empty,empty,3756849069.74,3756849069.75,3756845701.0,3756845698.77,port_timestamp,7.22300004959,10.5010004044,32.5085832918,1024.96026226,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
1,3756846598.76,8,3.60933995247,empty,empty,3756849069.74,3756849069.75,3756846601.0,3756846598.76,port_timestamp,6.29699993134,10.5020999908,32.5077980383,1024.95528015,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
2,3756847498.79,8,3.60928010941,empty,empty,3756855436.7,3756855436.73,3756847501.0,3756847498.79,port_timestamp,6.76999998093,10.5040998459,32.5052095153,1024.95505815,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
3,3756848398.76,8,3.60873007774,empty,empty,3756855436.7,3756855436.73,3756848401.0,3756848398.76,port_timestamp,7.18499994278,10.5030002594,32.5005046547,1024.95345453,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
4,3756849298.76,8,3.6086499691,empty,empty,3756855436.7,3756855436.73,3756849301.0,3756849298.76,port_timestamp,7.38000011444,10.5055999756,32.4972986471,1024.95139332,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
5,3756850198.76,8,3.60892009735,empty,empty,3756855436.7,3756855436.73,3756850201.0,3756850198.76,port_timestamp,7.17500019073,10.5075998306,32.4983100266,1024.95091383,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
6,3756851098.76,8,3.60781002045,empty,empty,3756855436.7,3756855436.73,3756851101.0,3756851098.76,port_timestamp,6.507999897,10.5023002625,32.4922122299,1024.94405504,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
7,3756851998.76,8,3.60842990875,empty,empty,3756855436.7,3756855436.73,3756852001.0,3756851998.76,port_timestamp,7.09399986267,10.5073003769,32.4937009461,1024.94700796,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
8,3756852898.76,8,3.60770988464,empty,empty,3756855436.7,3756855436.73,3756852901.0,3756852898.76,port_timestamp,7.40999984741,10.501999855,32.4910874928,1024.94730415,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
9,3756853798.76,8,3.60796999931,empty,empty,3756855436.7,3756855436.73,3756853801.0,3756853798.76,port_timestamp,7.57299995422,10.502699852,32.4929975359,1024.94940909,29,13,29,29,29,29,29,29,29,29,46.84905,-124.9775
10,3756854698.76,8,3.60813999176,empty,empty,3756863820.02,3756863821.88,3756854701.0,3756854698.76,port_timestamp,7.39499998093,10.5029001236,32.4945950515,1024.94981562,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3756855598.76,8,3.60718011856,empty,empty,3756863820.02,3756863821.88,3756855601.0,3756855598.76,port_timestamp,7.77400016785,10.4948997498,32.4919605904,1024.95084066,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3756856498.76,8,3.6065299511,empty,empty,3756863820.02,3756863821.88,3756856501.0,3756856498.76,port_timestamp,7.25899982452,10.4931001663,32.4872787187,1024.94517355,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3756857398.76,8,3.60693001747,empty,empty,3756863820.02,3756863821.88,3756857401.0,3756857398.76,port_timestamp,7.0560002327,10.492600441,32.4918193781,1024.94787987,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
14,3756858298.76,8,3.60698008537,empty,empty,3756863820.02,3756863821.89,3756858301.0,3756858298.76,port_timestamp,6.86000013351,10.494099617,32.4910664049,1024.946152,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
15,3756859198.76,8,3.60702991486,empty,empty,3756863820.02,3756863821.89,3756859201.0,3756859198.76,port_timestamp,6.85699987411,10.4945001602,32.4912068845,1024.94617955,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
16,3756860098.76,8,3.60695004463,empty,empty,3756863820.02,3756863821.89,3756860101.0,3756860098.76,port_timestamp,6.63800001144,10.4954996109,32.4896109759,1024.94377627,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
17,3756860998.75,8,3.60745000839,empty,empty,3756863820.02,3756863821.89,3756861001.0,3756860998.75,port_timestamp,7.45300006866,10.5016002655,32.4888245272,1024.94580339,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
18,3756861898.76,8,3.60788989067,empty,empty,3756870097.57,3756870106.34,3756861901.0,3756861898.76,port_timestamp,6.7610001564,10.5037002563,32.4916524202,1024.94452258,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
19,3756862798.75,8,3.60828995705,empty,empty,3756870097.57,3756870106.34,3756862801.0,3756862798.75,port_timestamp,7.15199995041,10.5138998032,32.4863912159,1024.94044725,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
20,3756863698.75,8,3.60862994194,empty,empty,3756870097.57,3756870106.35,3756863701.0,3756863698.75,port_timestamp,7.41400003433,10.5157003403,32.4880744585,1024.94263441,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
21,3756864598.75,8,3.60872006416,empty,empty,3756870097.57,3756870106.35,3756864601.0,3756864598.75,port_timestamp,7.01700019836,10.5171003342,32.4878976074,1024.94046431,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
22,3756865498.75,8,3.6087501049,empty,empty,3756870097.57,3756870106.35,3756865501.0,3756865498.75,port_timestamp,6.63000011444,10.5207996368,32.4850664404,1024.93587836,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
23,3756866398.75,8,3.60874009132,empty,empty,3756870097.57,3756870106.35,3756866401.0,3756866398.75,port_timestamp,7.15700006485,10.5213003159,32.4842939917,1024.93757116,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
24,3756867298.75,8,3.6086499691,empty,empty,3756870097.57,3756870106.35,3756867301.0,3756867298.75,port_timestamp,7.5609998703,10.5207996368,32.4836619544,1024.93898897,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
25,3756868198.75,8,3.60863995552,empty,empty,3756870097.57,3756870106.35,3756868201.0,3756868198.75,port_timestamp,6.91200017929,10.5206003189,32.4840196101,1024.93637049,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
26,3756869098.75,8,3.60842990875,empty,empty,3756878524.21,3756878524.34,3756869101.0,3756869098.75,port_timestamp,7.49700021744,10.5185003281,32.4835371707,1024.93899568,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
27,3756869998.75,8,3.60834002495,empty,empty,3756878524.21,3756878524.34,3756870001.0,3756869998.75,port_timestamp,7.39900016785,10.5167999268,32.4841985663,1024.93935895,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
28,3756870898.75,8,3.60831999779,empty,empty,3756878524.21,3756878524.34,3756870901.0,3756870898.75,port_timestamp,7.12599992752,10.5157003403,32.4850943224,1024.93901173,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
29,3756871798.75,8,3.60824990273,empty,empty,3756878524.21,3756878524.34,3756871801.0,3756871798.75,port_timestamp,7.75699996948,10.5143995285,32.4852843066,1024.94223198,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
30,3756872698.75,8,3.60835003853,empty,empty,3756878524.21,3756878524.34,3756872701.0,3756872698.75,port_timestamp,6.96299982071,10.5135002136,32.4874284085,1024.94046999,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
31,3756873598.75,8,3.60823988914,empty,empty,3756878524.21,3756878524.34,3756873601.0,3756873598.75,port_timestamp,6.91900014877,10.5122995377,32.4874148219,1024.9404658,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
32,3756874498.75,8,3.60833001137,empty,empty,3756878524.21,3756878524.34,3756874501.0,3756874498.75,port_timestamp,7.06500005722,10.5121002197,32.4884347407,1024.94195394,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
33,3756875398.74,8,3.60827994347,empty,empty,3756878524.21,3756878524.34,3756875401.0,3756875398.74,port_timestamp,6.31799983978,10.5102996826,32.4898583275,1024.93999672,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
34,3756876298.74,8,3.60830998421,empty,empty,3756884790.42,3756884793.14,3756876301.0,3756876298.74,port_timestamp,7.28900003433,10.5097999573,32.4901879129,1024.94472459,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
35,3756877198.74,8,3.6085100174,empty,empty,3756884790.42,3756884793.14,3756877201.0,3756877198.74,port_timestamp,7.45200014114,10.5101995468,32.4917622374,1024.94661917,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
