obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3757191298.56,8,3.59102010727,empty,empty,3757194600.66,3757194600.75,3757191301.0,3757191298.56,port_timestamp,6.58799982071,10.3671998978,32.4444015349,1024.93012229,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3757192198.54,8,3.59135007858,empty,empty,3757194600.66,3757194600.75,3757192201.0,3757192198.54,port_timestamp,7.25199985504,10.3692998886,32.4455537376,1024.93366605,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3757193098.54,8,3.59169006348,empty,empty,3757200906.58,3757200906.6,3757193101.0,3757193098.54,port_timestamp,7.125,10.3715000153,32.4470572951,1024.93389154,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3757193998.54,8,3.59167003632,empty,empty,3757200906.58,3757200906.6,3757194001.0,3757193998.54,port_timestamp,6.49100017548,10.3720998764,32.446596097,1024.93056504,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3757194898.54,8,3.59201002121,empty,empty,3757200906.58,3757200906.6,3757194901.0,3757194898.54,port_timestamp,7.30200004578,10.3733997345,32.4484985391,1024.93549323,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3757195798.54,8,3.59173989296,empty,empty,3757200906.58,3757200906.6,3757195801.0,3757195798.54,port_timestamp,7.54400014877,10.3718996048,32.4470215316,1024.93568974,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3757196698.54,8,3.5922100544,empty,empty,3757200906.58,3757200906.6,3757196701.0,3757196698.54,port_timestamp,6.96999979019,10.3739004135,32.450201893,1024.93523559,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3757197598.53,8,3.59208989143,empty,empty,3757200906.58,3757200906.6,3757197601.0,3757197598.53,port_timestamp,7.44899988174,10.3736000061,32.4490568525,1024.93655886,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3757198498.53,8,3.59233999252,empty,empty,3757200906.58,3757200906.6,3757198501.0,3757198498.53,port_timestamp,7.24900007248,10.3737001419,32.4515665074,1024.93759409,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3757199398.53,8,3.59238004684,empty,empty,3757200906.58,3757200906.6,3757199401.0,3757199398.53,port_timestamp,7.21099996567,10.3754997253,32.4503782161,1024.93619142,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
