obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3757364098.44,8,3.59100008011,empty,empty,3757366832.93,3757366832.94,3757364101.0,3757364098.44,port_timestamp,7.13800001144,10.361000061,32.4494972851,1024.93762918,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3757364998.44,8,3.59140992165,empty,empty,3757366832.93,3757366832.94,3757365001.0,3757364998.44,port_timestamp,7.26599979401,10.3655004501,32.4495417618,1024.93748084,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3757365898.44,8,3.59169006348,empty,empty,3757375248.07,3757375248.11,3757365901.0,3757365898.44,port_timestamp,7.35300016403,10.3689002991,32.4492801943,1024.93709473,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3757366798.43,8,3.59083008766,empty,empty,3757375248.07,3757375248.11,3757366801.0,3757366798.43,port_timestamp,7.23000001907,10.3593997955,32.4491816402,1024.93806972,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3757367698.43,8,3.59169006348,empty,empty,3757375248.07,3757375248.11,3757367701.0,3757367698.43,port_timestamp,7.29099988937,10.369799614,32.4485039233,1024.93605722,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3757368598.43,8,3.59046006203,empty,empty,3757375248.07,3757375248.11,3757368601.0,3757368598.43,port_timestamp,7.36800003052,10.3554000854,32.4489772813,1024.93921075,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3757369498.44,8,3.58998990059,empty,empty,3757375248.07,3757375248.11,3757369501.0,3757369498.44,port_timestamp,7.31300020218,10.3500995636,32.4490100235,1024.93988404,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3757370398.43,8,3.59059000015,empty,empty,3757375248.07,3757375248.11,3757370401.0,3757370398.43,port_timestamp,7.27099990845,10.3569002151,32.4489822463,1024.93852245,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3757371298.43,8,3.59001994133,empty,empty,3757375248.07,3757375248.11,3757371301.0,3757371298.43,port_timestamp,7.43400001526,10.3500995636,32.4492605532,1024.94062624,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3757372198.43,8,3.59066009521,empty,empty,3757375248.07,3757375248.11,3757372201.0,3757372198.43,port_timestamp,7.36100006104,10.3573999405,32.4492021602,1024.93901612,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
10,3757373098.43,8,3.59053993225,empty,empty,3757381547.84,3757381547.86,3757373101.0,3757373098.43,port_timestamp,7.45800018311,10.3563995361,32.4488466936,1024.9393467,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3757373998.43,8,3.59040999413,empty,empty,3757381547.84,3757381547.86,3757374001.0,3757373998.43,port_timestamp,7.44000005722,10.3542003632,32.4495118829,1024.9401558,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3757374898.43,8,3.59095001221,empty,empty,3757381547.84,3757381547.86,3757374901.0,3757374898.43,port_timestamp,7.42500019073,10.3600997925,32.4496754648,1024.93921758,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3757375798.43,8,3.59169006348,empty,empty,3757381547.84,3757381547.86,3757375801.0,3757375798.43,port_timestamp,7.49399995804,10.3680000305,32.4500232527,1024.93846356,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
14,3757376698.43,8,3.59137010574,empty,empty,3757381547.84,3757381547.86,3757376701.0,3757376698.43,port_timestamp,7.29699993134,10.3641996384,32.4502877584,1024.93842257,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
15,3757377598.43,8,3.59345006943,empty,empty,3757381547.84,3757381547.86,3757377601.0,3757377598.43,port_timestamp,7.36100006104,10.3858995438,32.4517708124,1024.936193,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
16,3757378498.43,8,3.59399008751,empty,empty,3757381547.84,3757381547.86,3757378501.0,3757378498.43,port_timestamp,7.32100009918,10.3926000595,32.4512244389,1024.9344507,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
17,3757379398.43,8,3.59471988678,empty,empty,3757381547.84,3757381547.86,3757379401.0,3757379398.43,port_timestamp,7.45800018311,10.3993997574,32.4524194549,1024.93484821,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
18,3757380298.43,8,3.59447002411,empty,empty,3757396261.85,3757396261.87,3757380301.0,3757380298.43,port_timestamp,7.4470000267,10.3952999115,32.4535802063,1024.93639842,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
19,3757381198.43,8,3.59877991676,empty,empty,3757396261.85,3757396261.87,3757381201.0,3757381198.43,port_timestamp,7.24900007248,10.4336996078,32.462627365,1024.93603549,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
20,3757382098.43,8,3.60003995895,empty,empty,3757396261.85,3757396261.87,3757382101.0,3757382098.43,port_timestamp,7.52799987793,10.4458999634,32.4642529175,1024.93648826,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
21,3757382998.43,8,3.59944009781,empty,empty,3757396261.85,3757396261.87,3757383001.0,3757382998.43,port_timestamp,7.26000022888,10.4395999908,32.4639742762,1024.93613173,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
22,3757383898.43,8,3.59781002998,empty,empty,3757396261.85,3757396261.87,3757383901.0,3757383898.43,port_timestamp,7.05499982834,10.4256000519,32.4602110234,1024.93465218,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
23,3757384798.43,8,3.5957698822,empty,empty,3757396261.85,3757396261.87,3757384801.0,3757384798.43,port_timestamp,7.33500003815,10.4048995972,32.4581013058,1024.93778766,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
24,3757385698.42,8,3.59155988693,empty,empty,3757396261.85,3757396261.87,3757385701.0,3757385698.42,port_timestamp,7.46799993515,10.3627996445,32.453372311,1024.94183662,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
25,3757386598.42,8,3.59057998657,empty,empty,3757396261.85,3757396261.87,3757386601.0,3757386598.42,port_timestamp,7.22700023651,10.3558998108,32.4497951004,1024.93912638,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
26,3757387498.42,8,3.58980989456,empty,empty,3757396261.85,3757396261.88,3757387501.0,3757387498.42,port_timestamp,7.38999986649,10.3478002548,32.4492215531,1024.94078571,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
27,3757388398.42,8,3.58939003944,empty,empty,3757396261.85,3757396261.88,3757388401.0,3757388398.42,port_timestamp,7.39400005341,10.3432998657,32.4490236137,1024.94141022,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
28,3757389298.42,8,3.58984994888,empty,empty,3757396261.85,3757396261.88,3757389301.0,3757389298.42,port_timestamp,7.43400001526,10.3458995819,32.4513028576,1024.94292826,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
29,3757390198.42,8,3.59529995918,empty,empty,3757396261.85,3757396261.88,3757390201.0,3757390198.42,port_timestamp,7.31699991226,10.3975000381,32.4599989582,1024.9404405,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
30,3757391098.42,8,3.59995007515,empty,empty,3757396261.85,3757396261.88,3757391101.0,3757391098.42,port_timestamp,7.5609998703,10.4444999695,32.4645854081,1024.9371346,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
31,3757391998.42,8,3.60436010361,empty,empty,3757396261.85,3757396261.88,3757392001.0,3757391998.42,port_timestamp,7.3029999733,10.491399765,32.4670483206,1024.92989934,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
32,3757392898.42,8,3.60339999199,empty,empty,3757396261.85,3757396261.88,3757392901.0,3757392898.42,port_timestamp,7.27199983597,10.4805002213,32.4671657235,1024.93170943,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
33,3757393798.42,8,3.59953999519,empty,empty,3757396261.85,3757396261.88,3757393801.0,3757393798.42,port_timestamp,7.42299985886,10.4399003983,32.4646380154,1024.93733435,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
34,3757394698.42,8,3.59294009209,empty,empty,3757402549.12,3757402549.71,3757394701.0,3757394698.42,port_timestamp,7.35699987411,10.3747997284,32.4565632535,1024.9417906,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
35,3757395598.42,8,3.58846998215,empty,empty,3757402549.12,3757402549.71,3757395601.0,3757395598.42,port_timestamp,7.43300008774,10.3348999023,32.4472642042,1024.94163436,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
