obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3756500098.99,8,3.60102009773,empty,empty,3756502479.43,3756502479.44,3756500101.0,3756500098.99,port_timestamp,7.26499986649,10.4532003403,32.4676754721,1024.93672496,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
1,3756500998.99,8,3.60134005547,empty,empty,3756502479.43,3756502479.44,3756501001.0,3756500998.99,port_timestamp,7.35900020599,10.4562997818,32.4680772458,1024.93693519,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
2,3756501898.99,8,3.60152006149,empty,empty,3756510887.29,3756510889.52,3756501901.0,3756501898.99,port_timestamp,7.17700004578,10.4556999207,32.4704954273,1024.93809943,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
3,3756502798.99,8,3.60242009163,empty,empty,3756510887.29,3756510889.52,3756502801.0,3756502798.99,port_timestamp,7.1139998436,10.4661998749,32.4701720812,1024.935775,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
4,3756503698.99,8,3.60280990601,empty,empty,3756510887.29,3756510889.52,3756503701.0,3756503698.99,port_timestamp,7.25699996948,10.4688997269,32.4716080755,1024.93708009,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
5,3756504598.99,8,3.6031498909,empty,empty,3756510887.29,3756510889.52,3756504601.0,3756504598.99,port_timestamp,7.21000003815,10.4708995819,32.4732495007,1024.93780609,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
6,3756505498.99,8,3.60331988335,empty,empty,3756510887.29,3756510889.52,3756505501.0,3756505498.99,port_timestamp,6.97900009155,10.4717998505,32.4742503276,1024.93738902,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
7,3756506398.99,8,3.60457992554,empty,empty,3756510887.29,3756510889.52,3756506401.0,3756506398.99,port_timestamp,6.91300010681,10.4854001999,32.4747673933,1024.93517547,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
8,3756507298.99,8,3.60401010513,empty,empty,3756510887.29,3756510889.52,3756507301.0,3756507298.99,port_timestamp,6.94299983978,10.478099823,32.4755584465,1024.93717204,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
9,3756508198.99,8,3.60435009003,empty,empty,3756510887.29,3756510889.52,3756508201.0,3756508198.99,port_timestamp,6.94899988174,10.4830999374,32.4745037142,1024.93552487,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
10,3756509098.99,8,3.60492992401,empty,empty,3756517211.73,3756517211.75,3756509101.0,3756509098.99,port_timestamp,6.97100019455,10.4874000549,32.4764657609,1024.93641977,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3756509999.0,8,3.60514998436,empty,empty,3756517211.73,3756517211.75,3756510001.0,3756509999.0,port_timestamp,7.10699987411,10.4889001846,32.4772696018,1024.93740458,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3756510898.98,8,3.60497999191,empty,empty,3756517211.73,3756517211.75,3756510901.0,3756510898.98,port_timestamp,7.15600013733,10.4868001938,32.4774217082,1024.93810263,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3756511798.98,8,3.60504007339,empty,empty,3756517211.73,3756517211.75,3756511801.0,3756511798.98,port_timestamp,7.09499979019,10.4863996506,32.4784051084,1024.93866164,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
14,3756512698.98,8,3.60553002357,empty,empty,3756517211.73,3756517211.75,3756512701.0,3756512698.98,port_timestamp,7.10799980164,10.4925003052,32.4778665257,1024.93726005,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
15,3756513598.98,8,3.6056098938,empty,empty,3756517211.73,3756517211.75,3756513601.0,3756513598.98,port_timestamp,6.99900007248,10.492600441,32.4786225009,1024.93733964,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
16,3756514498.98,8,3.60587000847,empty,empty,3756517211.73,3756517211.75,3756514501.0,3756514498.98,port_timestamp,6.9390001297,10.4952001572,32.4789345454,1024.93686817,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
17,3756515399.01,8,3.60469007492,empty,empty,3756517211.73,3756517211.75,3756515401.0,3756515399.01,port_timestamp,6.99700021744,10.481300354,32.4794929354,1024.93993614,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
18,3756516298.98,8,3.60504007339,empty,empty,3756525588.75,3756525589.08,3756516301.0,3756516298.98,port_timestamp,7.06799983978,10.4855003357,32.4792190218,1024.93932725,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
19,3756517198.98,8,3.60517001152,empty,empty,3756525588.75,3756525589.08,3756517201.0,3756517198.98,port_timestamp,7.02899980545,10.486700058,32.4794683378,1024.93914073,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
20,3756518098.98,8,3.60435009003,empty,empty,3756525588.75,3756525589.08,3756518101.0,3756518098.98,port_timestamp,6.85900020599,10.4777002335,32.4793597581,1024.93982272,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
21,3756518998.98,8,3.6040699482,empty,empty,3756525588.75,3756525589.08,3756519001.0,3756518998.98,port_timestamp,7.31199979782,10.4749002457,32.4788541887,1024.94195241,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
22,3756519898.98,8,3.6045999527,empty,empty,3756525588.75,3756525589.08,3756519901.0,3756519898.98,port_timestamp,7.32399988174,10.4809999466,32.4787145695,1024.94085801,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
23,3756520798.98,8,3.60357999802,empty,empty,3756525588.75,3756525589.08,3756520801.0,3756520798.98,port_timestamp,7.10799980164,10.469499588,32.4788538097,1024.94195086,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
24,3756521698.98,8,3.60288000107,empty,empty,3756525588.75,3756525589.08,3756521701.0,3756521698.98,port_timestamp,7.25099992752,10.4615001678,32.4789166616,1024.94400846,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
25,3756522599.03,8,3.60294008255,empty,empty,3756525588.75,3756525589.08,3756522601.0,3756522599.03,port_timestamp,6.84700012207,10.4612998962,32.4798696375,1024.94296002,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
26,3756523498.98,8,3.60177993774,empty,empty,3756531879.17,3756531880.39,3756523501.0,3756523498.98,port_timestamp,6.83699989319,10.4483003616,32.4798499001,1024.94511228,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
27,3756524398.98,8,3.60173010826,empty,empty,3756531879.17,3756531880.39,3756524401.0,3756524398.98,port_timestamp,6.91699981689,10.4465999603,32.4808324081,1024.94652869,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
28,3756525298.97,8,3.60120010376,empty,empty,3756531879.17,3756531880.39,3756525301.0,3756525298.97,port_timestamp,7.19199991226,10.4406003952,32.4807578264,1024.94873363,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
29,3756526198.97,8,3.60061001778,empty,empty,3756531879.17,3756531880.39,3756526201.0,3756526198.97,port_timestamp,7.08500003815,10.4329004288,32.4817615626,1024.95034174,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
30,3756527098.98,8,3.6003100872,empty,empty,3756531879.17,3756531880.39,3756527101.0,3756527098.98,port_timestamp,7.02600002289,10.429599762,32.4817274187,1024.95060963,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
31,3756527998.97,8,3.60013008118,empty,empty,3756531879.17,3756531880.39,3756528001.0,3756527998.97,port_timestamp,6.8189997673,10.4284000397,32.4810822096,1024.94937542,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
32,3756528899.1,8,3.6006000042,empty,empty,3756531879.17,3756531880.39,3756528901.0,3756528899.1,port_timestamp,7.27299976349,10.4330997467,32.4814030609,1024.95087789,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
33,3756529798.97,8,3.60050010681,empty,empty,3756531879.17,3756531880.39,3756529801.0,3756529798.97,port_timestamp,7.09899997711,10.4331998825,32.4803863916,1024.9492824,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
34,3756530698.97,8,3.60075998306,empty,empty,3756540280.89,3756540281.1,3756530701.0,3756530698.97,port_timestamp,7.07700014114,10.4369001389,32.4796970615,1024.94801667,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
35,3756531598.97,8,3.60114002228,empty,empty,3756540280.89,3756540281.1,3756531601.0,3756531598.97,port_timestamp,7.02299976349,10.4426002502,32.4784409738,1024.94582442,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
36,3756532498.97,8,3.59957003593,empty,empty,3756540280.89,3756540281.1,3756532501.0,3756532498.97,port_timestamp,7.44999980927,10.4289999008,32.4746581796,1024.94711817,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
37,3756533398.97,8,3.6001598835,empty,empty,3756540280.89,3756540281.1,3756533401.0,3756533398.97,port_timestamp,6.88199996948,10.4364004135,32.4742103639,1024.9429448,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
38,3756534298.97,8,3.60089993477,empty,empty,3756540280.89,3756540281.1,3756534301.0,3756534298.97,port_timestamp,7.10799980164,10.4442996979,32.4744817348,1024.94283399,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
39,3756535199.02,8,3.60151004791,empty,empty,3756540280.89,3756540281.1,3756535201.0,3756535199.02,port_timestamp,7.22100019455,10.4490003586,32.4763521753,1024.94400237,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
